Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
Cell Cycle Checkpoints;0,00;2,42;6,63;0,00;3,07;2,13;5,87;9,52;3,21;7,15;3,49;5,53;6,09;0,00;0,79;2,39
PPAR Signaling;1,07;0,00;3,51;0,42;2,36;4,23;5,61;8,41;5,12;5,95;6,38;8,66;8,06;0,61;5,69;4,97
Neutrophil degranulation;0,48;0,58;4,57;1,70;2,63;4,32;5,67;4,53;5,63;7,64;4,75;10,22;10,35;0,83;2,54;3,80
Estrogen Receptor Signaling;0,54;1,98;6,16;1,43;5,16;2,52;3,70;5,81;3,24;4,55;4,06;7,86;10,56;0,47;2,87;3,63
CLEAR Signaling Pathway;0,68;0,00;3,28;1,41;2,80;4,20;4,01;3,52;5,46;4,77;6,12;6,89;8,89;1,04;2,18;3,89
RAF/MAP kinase cascade;0,71;0,53;6,03;0,00;0,73;2,90;4,79;5,21;2,85;5,74;5,11;6,60;9,31;0,00;2,05;2,63
NRF2-mediated Oxidative Stress Response;0,00;0,00;4,09;0,00;3,06;3,50;3,81;5,63;3,23;3,97;3,84;5,39;7,22;0,27;1,65;3,25
Superpathway of Cholesterol Biosynthesis;0,00;0,00;0,42;0,00;0,00;9,26;7,51;9,64;6,57;9,75;7,36;4,47;3,95;0,00;0,00;0,26
Cholesterol biosynthesis;0,00;0,00;0,00;0,00;0,56;9,56;7,75;7,98;8,81;7,06;7,61;3,39;2,89;0,00;0,00;0,00
Response of EIF2AK1 (HRI) to heme deficiency;0,00;0,99;5,77;0,00;0,33;5,25;5,94;5,40;5,93;5,46;5,84;2,34;1,79;0,00;0,75;1,19
DHCR24 Signaling Pathway;0,96;0,00;1,31;0,89;3,23;4,96;7,44;3,58;7,42;4,44;7,64;4,25;4,95;0,00;0,00;1,25
O-linked glycosylation;0,00;1,33;0,25;0,00;1,07;6,30;7,25;4,53;6,19;6,51;4,17;3,41;3,02;0,98;0,93;1,64
Glutaminergic Receptor Signaling Pathway (Enhanced);0,00;0,37;0,99;0,00;1,31;6,33;4,67;3,47;5,81;5,21;5,77;3,25;3,93;0,00;0,00;0,30
Activation of gene expression by SREBF (SREBP);0,00;0,00;0,26;0,00;1,07;6,35;7,19;2,57;6,39;4,96;5,51;4,40;4,60;0,85;1,24;0,94
NAFLD Signaling Pathway;0,00;0,00;0,50;0,00;2,98;6,16;6,93;7,25;6,14;6,73;5,49;3,11;3,48;0,52;0,91;0,00
Cell Cycle: G2/M DNA Damage Checkpoint Regulation;0,00;0,00;1,14;0,00;1,28;5,62;6,96;6,68;5,55;4,23;6,08;5,01;3,15;0,72;0,95;0,00
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol);0,00;0,00;0,35;0,00;0,00;6,01;5,59;7,68;5,58;6,37;5,50;2,13;2,20;0,00;0,00;0,00
Cholesterol Biosynthesis I;0,00;0,00;0,35;0,00;0,00;6,01;5,59;7,68;5,58;6,37;5,50;2,13;2,20;0,00;0,00;0,00
Cholesterol Biosynthesis III (via Desmosterol);0,00;0,00;0,35;0,00;0,00;6,01;5,59;7,68;5,58;6,37;5,50;2,13;2,20;0,00;0,00;0,00
Syndecan interactions;0,00;0,00;0,92;0,00;1,02;4,22;5,33;3,27;5,32;4,77;11,30;8,59;7,82;3,06;4,36;3,73
Signaling by TGF-beta Receptor Complex;0,00;0,00;1,51;0,00;0,77;6,56;7,15;5,50;7,13;6,26;10,92;11,36;9,29;3,69;3,50;2,80
TGF-β Signaling;0,00;0,00;0,36;0,46;1,01;3,71;3,82;4,14;6,20;4,26;5,49;10,14;7,74;2,34;1,59;1,75
IGF-1 Signaling;0,00;0,75;1,68;0,00;2,88;3,45;5,71;2,99;5,69;3,45;5,98;8,30;6,72;0,61;2,51;3,01
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer;0,00;0,00;1,17;0,00;1,31;4,45;5,72;2,27;5,05;3,80;5,56;8,58;6,72;3,89;2,49;2,49
Transcriptional regulation by RUNX2;0,00;0,51;0,00;0,69;1,25;3,64;5,41;2,52;4,77;2,16;7,33;9,54;7,62;2,87;2,98;2,37
Integrin Signaling;0,79;0,00;2,09;0,61;2,50;4,32;4,77;3,94;8,20;4,41;7,44;5,87;6,39;2,59;1,84;4,07
ABRA Signaling Pathway;0,00;0,00;3,63;1,19;1,08;4,48;5,09;3,25;6,10;5,10;8,17;4,22;4,93;1,78;1,33;1,89
Cachexia Signaling Pathway;0,00;0,00;5,34;0,00;1,76;5,39;5,95;6,00;5,63;6,87;8,74;6,76;7,78;3,00;1,39;2,21
Response to elevated platelet cytosolic Ca2+;0,98;0,00;5,14;0,93;2,52;6,42;6,18;5,66;5,70;5,39;8,38;5,67;7,83;3,53;3,36;3,20
Docosahexaenoic Acid (DHA) Signaling;2,95;0,26;0,78;0,51;2,77;6,14;5,32;6,14;4,65;6,72;7,86;6,48;6,12;0,65;1,00;2,02
Signaling by PDGF;1,33;0,00;0,93;0,64;3,27;5,83;5,68;4,23;4,48;4,88;8,23;5,80;6,69;2,62;2,58;3,05
Endothelin-1 Signaling;0,00;0,38;0,00;0,00;3,78;6,08;4,44;5,36;5,86;6,68;8,48;5,16;4,09;0,00;0,00;0,75
WNT/Ca+ pathway;1,27;1,08;1,12;1,45;2,85;6,71;5,83;6,60;5,81;6,73;8,94;4,47;5,77;0,00;0,00;0,39
Apelin Endothelial Signaling Pathway;0,00;0,00;1,24;0,32;5,80;4,69;4,47;6,40;5,68;7,51;6,32;5,64;6,46;0,39;0,50;0,93
Gαq Signaling;0,00;0,45;0,61;0,75;6,22;5,63;3,77;4,87;5,57;5,41;6,97;4,03;6,10;0,52;0,97;0,40
Mitotic Prometaphase;0,00;1,22;0,69;0,00;3,15;6,03;7,82;10,61;5,04;7,74;7,89;8,38;7,44;0,00;1,00;0,39
Regulation of the Epithelial-Mesenchymal Transition Pathway;0,82;0,77;0,28;0,23;3,75;4,16;4,38;8,02;4,70;6,60;9,31;6,06;5,54;2,32;0,67;1,61
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis;0,76;0,63;0,00;0,56;2,18;5,20;4,88;9,36;5,53;8,79;8,71;6,11;4,52;1,90;1,54;1,04
RHO GTPases Activate Formins;0,00;1,10;2,00;0,00;5,39;4,96;6,96;9,25;5,56;8,43;6,22;5,30;6,10;0,41;0,75;0,58
Autophagy;0,78;0,33;3,48;1,13;4,05;4,50;7,17;7,17;4,91;7,81;7,63;6,60;5,80;0,33;2,39;0,84
IL-6 Signaling;0,99;0,00;2,21;0,35;3,02;3,86;5,80;8,64;6,72;7,81;6,96;6,19;5,78;2,27;2,95;2,44
Sertoli Cell-Sertoli Cell Junction Signaling;0,00;0,00;2,12;0,00;2,93;4,13;6,43;8,10;6,40;6,14;6,81;6,44;6,37;0,99;0,55;1,22
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway;0,00;0,00;0,52;0,33;3,17;7,62;7,74;8,00;6,29;7,24;8,97;7,95;7,11;1,57;4,96;2,47
Pancreatic Adenocarcinoma Signaling;0,00;0,22;0,91;0,36;6,59;7,82;8,06;6,03;8,57;6,20;7,26;10,97;8,88;0,82;0,00;0,54
Role of JAK family kinases in IL-6-type Cytokine Signaling;0,00;0,36;1,60;0,53;6,20;6,31;6,53;4,89;5,94;5,53;8,16;9,40;8,56;2,05;1,70;1,22
HMGB1 Signaling;0,00;0,00;0,85;0,27;4,69;5,84;5,02;6,66;7,06;7,29;9,61;7,87;7,57;3,37;2,20;1,98
Glioma Invasiveness Signaling;0,00;0,00;1,29;0,54;2,46;6,19;4,77;5,91;8,34;7,22;8,12;7,78;7,55;3,69;1,84;2,61
Role of NFAT in Cardiac Hypertrophy;0,00;1,61;0,00;0,00;5,67;7,36;5,80;5,45;8,11;7,10;10,86;7,84;7,02;0,00;0,73;0,91
Glioma Signaling;1,00;0,22;1,55;0,36;5,37;5,41;6,63;6,13;8,69;5,40;7,87;8,05;7,12;0,00;0,69;2,20
Colorectal Cancer Metastasis Signaling;0,69;0,50;0,34;0,91;6,02;6,05;5,81;7,89;7,18;6,73;9,53;9,30;6,02;1,48;0,95;0,56
Pulmonary Healing Signaling Pathway;0,82;0,37;0,55;0,65;5,13;6,29;8,14;7,84;8,11;6,07;9,60;7,66;6,73;1,81;1,55;1,84
Unfolded protein response;0,00;0,00;1,70;0,00;1,95;8,03;8,09;6,73;8,07;5,82;6,68;6,26;7,14;0,37;0,75;1,96
Ferroptosis Signaling Pathway;0,00;0,21;2,63;0,00;0,54;7,52;8,27;4,51;7,21;5,06;6,96;8,91;6,61;0,45;1,76;2,07
Signaling by Rho Family GTPases;0,00;0,24;3,29;0,00;2,44;5,92;7,10;6,40;7,82;6,31;8,22;9,71;10,10;1,15;2,20;2,75
Aryl Hydrocarbon Receptor Signaling;0,00;0,00;2,26;0,29;1,21;5,27;7,50;6,69;6,13;4,49;9,12;10,08;7,92;1,36;1,77;1,93
Ephrin Receptor Signaling;0,81;0,00;1,14;1,89;2,77;3,92;6,64;6,02;7,44;5,85;7,54;8,50;8,71;1,34;1,01;3,36
Reelin Signaling in Neurons;0,00;0,57;0,00;0,89;3,20;4,08;5,94;4,99;6,37;5,98;6,13;9,03;8,60;0,00;0,97;0,41
Germ Cell-Sertoli Cell Junction Signaling;0,00;0,00;2,70;0,27;4,08;5,63;5,59;6,82;5,97;5,41;6,12;9,21;8,91;1,66;0,57;1,90
Ribonucleotide Reductase Signaling Pathway;0,00;0,00;3,11;0,27;3,14;4,09;6,84;6,41;5,97;5,80;7,41;8,77;8,48;0,00;0,97;1,11
GADD45 Signaling;0,00;0,45;0,88;0,00;3,16;6,22;6,68;5,67;6,67;5,78;7,86;9,98;5,71;1,14;0,00;0,00
PPARα/RXRα Activation;0,00;0,39;1,00;0,00;2,58;5,42;5,26;4,80;4,53;5,69;8,65;9,87;7,23;2,36;1,95;1,68
Sumoylation Pathway;0,00;0,00;0,74;0,43;1,22;7,10;5,51;3,96;6,50;5,89;6,29;6,76;5,74;1,07;0,80;0,32
Sphingosine-1-phosphate Signaling;1,02;0,23;0,51;0,99;1,55;7,88;3,96;4,05;6,12;5,86;7,89;8,31;6,43;1,32;0,54;0,83
Synaptogenesis Signaling Pathway;0,63;0,70;0,58;0,77;0,99;4,05;6,37;4,38;7,69;6,34;6,96;8,31;6,01;0,00;1,42;0,83
Netrin Signaling;0,00;1,41;0,00;0,73;2,25;5,43;6,60;4,32;8,37;5,96;7,15;6,42;5,81;0,27;1,17;0,67
IL-8 Signaling;0,00;0,00;0,61;0,61;2,93;5,12;6,34;6,40;7,51;7,01;7,19;7,43;7,65;0,89;1,59;1,11
Protein Kinase A Signaling;0,00;1,10;0,78;0,00;3,39;4,54;6,28;7,22;7,13;9,14;6,13;7,86;7,03;0,66;0,66;0,44
Cardiac Hypertrophy Signaling;0,00;0,91;1,55;0,00;1,93;5,59;5,43;4,32;6,78;7,11;7,93;8,95;7,21;0,88;0,89;2,07
Oxytocin Signaling Pathway;0,68;0,82;2,31;0,00;2,48;5,49;4,62;5,50;6,86;7,40;7,21;6,66;6,99;0,32;1,44;2,13
Gluconeogenesis I;0,00;7,46;0,46;8,72;3,19;0,47;0,00;0,50;0,65;1,18;0,00;0,79;0,84;0,45;0,00;0,62
Glycolysis I;0,00;9,14;0,92;10,62;7,25;0,79;0,38;1,16;1,41;3,32;0,36;0,00;0,84;0,45;0,00;0,62
Mitochondrial Dysfunction;0,60;0,61;5,52;0,34;0,59;1,48;0,73;0,81;1,05;1,11;1,31;7,73;8,81;0,49;7,94;6,98
Oxidative Phosphorylation;0,00;0,00;4,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,42;3,94;2,02;10,95;8,28
Electron transport, ATP synthesis, and heat production by uncoupling proteins;0,00;0,00;4,21;0,00;0,00;0,00;0,00;0,39;0,00;0,00;0,00;2,96;4,94;1,25;8,83;7,01
Sirtuin Signaling Pathway;0,67;2,87;10,56;3,46;3,74;3,12;2,32;3,71;2,30;2,11;2,74;8,54;8,59;1,32;4,71;3,37
Microautophagy Signaling Pathway;0,91;0,00;7,89;0,79;0,48;1,87;1,99;1,71;1,31;3,42;3,24;5,04;8,23;2,93;2,44;1,91
Mitotic G1 phase and G1/S transition;0,00;1,82;7,04;0,00;1,37;2,15;3,38;1,92;1,58;3,54;1,98;6,19;7,96;0,00;1,13;2,07
Transcriptional regulation by RUNX3;0,00;0,00;10,51;0,00;0,45;1,54;2,64;1,18;2,29;1,74;4,08;5,42;6,71;1,16;2,91;5,13
Protein Ubiquitination Pathway;0,00;0,23;9,76;0,00;1,02;1,89;3,44;3,54;2,47;3,21;1,37;5,74;6,31;0,00;2,72;3,92
Mitotic G2-G2/M phases;0,00;0,76;10,73;0,00;0,00;1,21;2,03;2,75;0,63;1,52;1,88;8,44;8,24;0,40;2,15;2,76
Huntington's Disease Signaling;0,00;0,00;13,29;0,00;1,32;1,10;1,54;3,00;2,28;2,94;2,72;6,51;8,11;0,00;3,07;3,86
Processing of Capped Intron-Containing Pre-mRNA;0,00;0,00;10,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,39;1,72;0,00;6,58;6,08
NIK-->noncanonical NF-kB signaling;0,00;0,00;16,56;0,00;0,00;0,00;0,00;0,00;0,00;0,53;0,00;1,92;3,22;0,00;2,47;4,78
Regulation of RUNX2 expression and activity;0,00;0,00;13,26;0,00;0,00;0,00;0,27;0,51;0,00;0,39;0,53;2,79;4,69;0,00;2,40;5,00
PTEN Regulation;0,00;0,00;13,64;0,00;0,79;0,00;1,02;1,42;0,33;1,72;0,50;3,65;4,30;0,00;2,34;5,11
ABC-family proteins mediated transport;1,10;0,28;13,48;0,00;1,26;0,38;0,47;1,00;0,46;1,52;0,57;0,81;1,75;0,31;1,84;4,79
Regulation of Apoptosis;0,00;0,00;13,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;2,37;0,00;1,74;4,73
Cellular response to hypoxia;0,00;0,38;12,01;0,54;0,72;0,00;0,00;0,00;0,00;0,00;0,00;1,42;2,45;0,47;2,82;4,84
DNA Replication Pre-Initiation;0,00;0,27;10,57;0,00;1,20;0,00;0,00;0,57;0,00;1,16;0,00;0,86;1,82;0,00;1,06;3,10
FAT10 Signaling Pathway;0,00;0,00;10,54;0,00;0,00;0,00;0,00;0,00;0,00;0,28;0,00;0,79;2,35;0,00;1,15;3,12
Metabolism of polyamines;0,00;0,46;11,26;0,00;0,00;0,34;0,00;0,00;0,00;0,55;0,51;1,40;3,34;0,00;0,73;4,20
TNFR2 non-canonical NF-kB pathway;0,00;0,41;11,98;0,00;0,00;0,50;0,51;0,47;0,00;0,68;0,32;1,34;2,39;0,52;1,64;4,13
Hedgehog ligand biogenesis;0,00;0,00;12,41;0,00;0,00;0,00;0,00;0,00;0,00;0,57;0,38;1,27;3,06;0,00;1,31;3,17
MAPK6/MAPK4 signaling;0,00;0,00;11,81;0,00;0,00;0,00;0,00;0,54;0,00;1,15;0,45;1,39;2,99;0,00;1,33;3,72
Transcriptional regulation by RUNX1;0,00;0,00;7,09;0,83;0,00;0,00;0,80;0,35;0,52;0,48;0,37;1,77;2,44;0,64;0,80;3,23
S Phase;0,00;0,79;8,54;0,00;0,00;0,40;0,82;0,66;0,35;0,88;0,76;3,39;4,02;0,00;1,14;1,63
Signaling by ROBO receptors;0,00;0,00;8,77;0,00;0,29;0,00;0,62;1,12;0,35;1,40;1,31;2,42;3,92;0,25;1,44;3,46
KEAP1-NFE2L2 pathway;0,00;0,00;8,52;0,00;0,00;0,40;0,51;0,56;0,50;0,77;0,47;1,69;3,43;0,00;1,02;1,93
Degradation of beta-catenin by the destruction complex;0,00;0,00;9,33;0,00;0,29;0,00;0,00;0,56;0,00;0,32;0,34;2,23;3,08;0,00;1,74;2,34
C-type lectin receptors (CLRs);0,00;0,00;8,83;0,32;0,42;0,51;0,51;0,84;0,30;0,89;0,00;2,61;3,16;0,00;1,44;2,71
BAG2 Signaling Pathway;0,00;0,00;11,70;0,00;0,87;1,14;0,64;2,28;1,05;2,03;2,12;3,42;4,49;0,00;1,15;2,60
Hedgehog 'off' state;0,00;0,25;11,46;0,00;1,05;1,02;0,70;0,31;0,41;0,33;0,65;4,37;4,69;0,27;1,54;2,75
Hedgehog 'on' state;0,00;0,33;10,69;0,00;0,00;0,48;0,81;0,52;0,80;0,72;1,19;2,97;5,25;0,79;1,49;4,64
Signaling by NOTCH4;0,00;0,00;10,14;0,00;0,00;0,00;0,00;0,00;0,00;0,63;1,06;2,90;4,74;0,41;2,47;3,71
Synthesis of DNA;0,00;0,67;10,04;0,00;1,62;0,00;0,89;1,23;0,31;1,51;0,00;2,22;3,33;0,00;1,07;3,78
Regulation of mitotic cell cycle;0,00;0,87;11,36;0,00;0,31;0,00;0,75;1,25;0,29;1,31;0,53;2,79;4,14;0,00;1,44;3,95
TR/RXR Activation;0,00;1,16;0,00;2,56;10,03;3,92;3,44;4,21;4,17;6,01;3,27;1,60;2,52;0,80;1,79;0,00
Class I MHC mediated antigen processing and presentation;0,00;0,00;5,95;0,00;0,44;0,89;1,97;2,27;1,34;2,62;1,20;9,46;8,44;0,00;2,19;2,09
Intra-Golgi and retrograde Golgi-to-ER traffic;0,00;0,00;2,32;0,00;0,50;1,71;3,15;1,32;2,35;1,79;2,19;10,03;9,00;0,38;1,23;2,03
COPII-mediated vesicle transport;0,00;0,00;0,00;0,56;0,47;0,60;1,03;0,54;1,30;1,50;0,55;8,40;5,84;0,00;1,12;0,52
BER (Base Excision Repair) Pathway;0,00;0,00;0,50;0,00;0,27;2,21;2,29;2,75;3,88;1,51;1,78;7,00;2,57;0,00;0,00;0,00
Neutrophil Extracellular Trap Signaling Pathway;1,37;0,48;2,60;0,57;1,84;2,38;1,42;2,59;2,01;3,57;4,43;5,43;6,36;2,64;4,99;2,54
UVA-Induced MAPK Signaling;0,00;0,29;0,33;0,00;3,66;2,31;2,08;2,36;2,75;2,78;6,09;5,78;5,68;0,00;0,00;0,75
Transcriptional regulation of white adipocyte differentiation;1,17;0,34;1,08;1,26;2,65;3,27;2,29;1,71;2,28;2,42;4,22;2,81;6,02;0,81;2,93;1,79
NAD Signaling Pathway;0,93;0,52;2,06;1,51;4,82;2,45;2,90;1,56;4,23;1,64;4,40;4,10;5,88;1,00;1,60;1,51
Virus Entry via Endocytic Pathways;0,00;0,67;6,41;0,00;3,40;3,37;2,65;3,82;4,08;4,33;4,31;4,66;5,00;0,00;1,69;2,85
