Canonical Pathways;e01=IOX.3/C;e04=IOX1/C;e06=T4/C;e09=T4IOX.3/C;e10=T4IOX1/C
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway;0;0;1,12;1,44;1,51
Cell surface interactions at the vascular wall;0;0;0,93;1,03;1,22
HER-2 Signaling in Breast Cancer;0;0;0,63;1,47;2,14
IL-33 Signaling Pathway;0;0;1,13;1,51;2,08
STAT3 Pathway;0;0;0,63;0,96;1,26
Generic Transcription Pathway;0;0;1,81;1,36;2,39
NCAM signaling for neurite out-growth;0;0;1,07;1,41;1,53
Interleukin-10 signaling;0;0;1,5;1,29;1,7
Breast Cancer Regulation by Stathmin1;0;0;1,28;0,7;2,55
Transcriptional Regulatory Network in Embryonic Stem Cells;0;0;1,06;1,54;1,95
BMP signaling pathway;0;0;0,69;0,85;1,8
Role of Tissue Factor in Cancer;0;0;0,71;1,31;1,17
Cancer Drug Resistance by Drug Efflux;0;0;0,3;1,6;2,14
Endometrial Cancer Signaling;0;0;0,38;1,39;1,16
Hypoxia Signaling in the Cardiovascular System;0;0;0,45;1;1,41
Regulation of eIF4 and p70S6K Signaling;0;0;1;2;1,07
Apelin Endothelial Signaling Pathway;0;0;0,96;1,26;1,52
PDGF Signaling;0;0;0,47;1,35;1
Cargo concentration in the ER;0;0;1,41;1,9;2,11
COPII-mediated vesicle transport;0;0;1,27;1,6;2
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza;0;0;1,9;1,27;0,73
Role of RIG1-like Receptors in Antiviral Innate Immunity;0;0;2;2;0,71
Transcriptional Regulation by MECP2;0;0;1,51;1,51;1,51
Asparagine N-linked glycosylation;0;0;1;1,39;0,91
Role of PKR in Interferon Induction and Antiviral Response;0;0;1,8;1,18;1,22
Neuroinflammation Signaling Pathway;0;0;1;1,79;1,23
NOD1/2 Signaling Pathway;0;0;2,34;1,92;1,94
IL-12 Signaling and Production in Macrophages;0;0;2,33;2,27;1,94
TAK1-dependent IKK and NF-kappa-B activation;0;0;2,65;1,67;1,51
ATF6 (ATF6-alpha) activates chaperone genes;0;0;1,89;1,89;1,89
p53 Signaling;0;0;1,7;1,79;1,34
Endoplasmic Reticulum Stress Pathway;0;0;2,12;2,65;2,65
Cell Cycle: G2/M DNA Damage Checkpoint Regulation;0;0;2,5;2,67;2,5
Antioxidant Action of Vitamin C;0;0;2,24;2,52;1,53
Unfolded Protein Response (UPR);0;0;2,65;2,83;2,33
TREM1 Signaling;0;0;2,31;1,94;1,6
Regulation of Cellular Mechanics by Calpain Protease;0;0;1,41;1,94;2,11
Bladder Cancer Signaling;0;0;1,34;2,33;2,53
Effects of PIP2 hydrolysis;0;0;1,34;2;2,24
UDP-N-acetyl-D-glucosamine Biosynthesis II;0;0;1,63;2,24;2,24
Oncostatin M Signaling;0;0;1,67;2,11;2,11
Role of IL-17A in Psoriasis;0;0;1,63;2;2,24
NGF-stimulated transcription;0;0;1,73;1,94;2,5
Transcriptional regulation by RUNX3;0;0;2,5;2,36;2,36
Class I MHC mediated antigen processing and presentation;0;0;2,6;2,52;1,54
C-type lectin receptors (CLRs);0;0;2,18;1,7;1,88
Hedgehog ligand biogenesis;0;0;2,45;2,65;1,51
KEAP1-NFE2L2 pathway;0;0;2,71;3,05;2
RNA Polymerase II Transcription;0;0;1,94;2;1,51
E3 ubiquitin ligases ubiquitinate target proteins;0;0;2,33;2,33;1,94
RIPK1-mediated regulated necrosis;0;0;2,53;2,71;1,73
Interleukin-1 family signaling;0;0;1,29;0,94;1,35
Deubiquitination;0;0;1,26;1,12;1,51
PTEN Regulation;0;0;1;1,94;0
Macroautophagy;0;0;2;0;1,9
Microautophagy Signaling Pathway;0;0;1,73;1,73;0,94
TNFR2 non-canonical NF-kB pathway;0;0;1;1,41;0,58
NIK-->noncanonical NF-kB signaling;0;0;2;2;0,63
Metabolism of polyamines;0;0;1,89;1,89;1,27
TCR signaling;0;0;1,67;1,27;1,16
Signaling by the B Cell Receptor (BCR);0;0;1,39;0,83;1,41
Mitochondrial protein import;0;0;1;-0,38;0,63
Signaling by NOTCH4;0;0;0;0,63;0,54
Signaling by ROBO receptors;0;0;0;0,78;0,21
Cellular response to hypoxia;0;0;0,45;1;0,71
Transcriptional regulation by RUNX1;0;0;0,26;-0,23;0
Neddylation;0;0;0,17;-0,17;-0,45
ABC-family proteins mediated transport;0;0;0,58;0;0,22
Regulation of RUNX2 expression and activity;0;0;0,82;0,38;0,3
Regulation of Apoptosis;0;0;0;0;0
Hedgehog 'on' state;0;0;0,3;0;-0,26
LXR/RXR Activation;0;0;-2,24;-1,63;-0,96
Neutrophil Extracellular Trap Signaling Pathway;0;0;-1,66;-1,5;-1,69
Mitotic Prometaphase;0;0;-3,83;-3,36;-4,46
RHO GTPases Activate Formins;0;0;-2,61;-2,8;-2,95
Kinesins;0;0;-3,64;-3,64;-3
MHC class II antigen presentation;0;0;-3,92;-2,86;-1,8
Apoptosis Signaling;0;0;-2,84;-3,78;-3,66
Activation of gene expression by SREBF (SREBP);0;0;-4,12;-3,77;-3,15
Superpathway of Cholesterol Biosynthesis;0;0;-4,12;-3,87;-4,36
Cholesterol biosynthesis;0;0;-4;-4;-3,87
CLEAR Signaling Pathway;0;-1;-1,39;-1,41;-0,88
Activation of the pre-replicative complex;0;0;0;-2,83;-3,32
Nucleosome assembly;0;0;-0,71;-2,71;-2,31
PPAR Signaling;0;0;-1,88;-1,89;-2,34
PPARα/RXRα Activation;0;0;-2,34;-2,4;-2,21
RHOGDI Signaling;0;0;-1,26;-1,95;-1,98
PTEN Signaling;0;0;0,43;-1,67;-0,93
Kinetochore Metaphase Signaling Pathway;0;0;-0,89;-1,79;-2,19
Mitochondrial biogenesis;0;0;-1,51;-1,81;-1,81
Cyclins and Cell Cycle Regulation;0;0;-1,81;-1,81;-2,32
Peroxisomal protein import;0;0;-1,51;-0,71;-3,64
Assembly and cell surface presentation of NMDA receptors;0;0;-1,73;-0,71;-1,27
Gap junction trafficking and regulation;0;0;-1,89;-1;-1
G alpha (12/13) signalling events;0;0;-1,7;-1,18;-0,21
The citric acid (TCA) cycle and respiratory electron transport;0;0;-1,41;-0,58;-0,78
NR1H2 and NR1H3-mediated signaling;0;0;-1,9;-2,33;-1,07
Neurovascular Coupling Signaling Pathway;0;0;-2;-1,95;-0,8
Opioid Signalling;0;0;-2,07;-2,4;-0,85
Integration of energy metabolism;0;0;-1,81;-2,32;-1,27
RNA Polymerase I Transcription;0;0;-0,63;-1,67;-1,27
Cilium Assembly;0;0;-2,56;-1,15;-2,04
Activation of NMDA receptors and postsynaptic events;0;0;-1,73;-1;-1,9
DNA Damage Bypass;0;0;-0,63;-0,63;-1,51
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA);0;0;-0,54;-0,3;-1,21
Nitric Oxide Signaling in the Cardiovascular System;0;0;-1,23;-1,18;-0,93
Synaptic Long Term Depression;0;0;-1,41;-0,34;-0,82
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand;0;0;-2,71;-1,89;-1,67
RHO GTPases activate IQGAPs;0;0;-2,33;-1,63;-1,89
Carboxyterminal post-translational modifications of tubulin;0;0;-2,53;-1,63;-2,12
Iron uptake and transport;0;0;-1,81;-1,16;-2,84
Cellular response to heat stress;0;0;-1,39;-1,6;-1,41
DHCR24 Signaling Pathway;0;0;-2,61;-1,9;-0,67
Orexin Signaling Pathway;0;0;-2,53;-2,03;-1,94
Adrenergic Receptor Signaling Pathway (Enhanced);0;0;-1,76;-1,3;-2,03
RAR Activation;0;0;-2,13;-2,22;-1,85
SNARE Signaling Pathway;0;0;-2,4;-2,45;-1,89
Fatty Acid β-oxidation I;0;0;-1,63;0;-3
Ketogenesis;0;0;-2;0;-2,45
Peroxisomal lipid metabolism;0;0;-2;0;-2,83
Noradrenaline and Adrenaline Degradation;0;0;-2,12;-1,67;-1,67
FXR/RXR Activation;0;0;-2,54;-1,76;-2,08
Cardiac conduction;0;0;-2,24;-2,56;-1,96
Ethanol Degradation II;0;0;-2,83;-2,33;-2,33
Serotonin Degradation;0;0;-2,53;-2,11;-1,9
Cell Cycle Control of Chromosomal Replication;0;0;-2,14;-2,67;-3,13
Mitotic Roles of Polo-Like Kinase;0;0;-2,53;-2,11;-3,21
Resolution of Abasic Sites (AP sites);0;0;-2,33;-2,11;-2,12
Ethanol Degradation IV;0;0;-2,83;-2,53;-1,9
Bile Acid Biosynthesis, Neutral Pathway;0;0;-2;-2,24;-2,24
Bile acid and bile salt metabolism;0;0;-1,51;-1,39;-2,18
BER (Base Excision Repair) Pathway;0;0;-2,11;-1,81;-2,71
Valine Degradation I;0;0;-1,63;-1,34;-1,89
Phase I - Functionalization of compounds;0;0;-2,32;-2,18;-2,98
Glycerophospholipid biosynthesis;0;0;-2,99;-2,65;-3,14
O-linked glycosylation;0;0;-2,34;-2,96;-3
Phospholipases;0;0;-2,84;-2,84;-2,14
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate);0;0;-2,83;-2,45;-3
Mevalonate Pathway I;0;0;-2,65;-2,24;-2,83
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol);0;0;-3;-3;-3,16
Cholesterol Biosynthesis I;0;0;-3;-3;-3,16
Cholesterol Biosynthesis III (via Desmosterol);0;0;-3;-3;-3,16
Gamma carboxylation, hypusine formation and arylsulfatase activation;0;0;-1;-1,27;-2,45
Metabolism of cofactors;0;0;-1,63;-2;-2,45
Ketolysis;0;0;0;0;-2,45
TCA Cycle II (Eukaryotic);0;0;0;0;-1,34
Xenobiotic Metabolism CAR Signaling Pathway;0;0;-1,35;-1,62;-0,35
Sperm Motility;0;0;-2,19;-1,89;-1,1
Glutathione Redox Reactions I;0;0;-1,34;-1,34;0
Oleate Biosynthesis II (Animals);0;0;-2,24;-2,24;0
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis;0;0;-1,34;-2,65;0
Stearate Biosynthesis I (Animals);0;0;-1,13;-2,45;-1,41
Apelin Cardiac Fibroblast Signaling Pathway;0;0;-1,27;-0,91;-1,27
WNK Renal Signaling Pathway;0;0;-1,6;-1,07;-1,5
Neurotransmitter clearance;0;0;-2;-2;-1,34
Fatty acyl-CoA biosynthesis;0;0;-1,89;-1,63;-1,89
SUMOylation of DNA replication proteins;0;0;-1,89;-1,63;-2,11
Eicosanoid Signaling;0;0;-1,41;-1,13;-1,41
Isoleucine Degradation I;0;0;-1,34;0;-1,89
Glutaryl-CoA Degradation;0;0;-1;0;-1,89
Tryptophan Degradation III (Eukaryotic);0;0;-1,34;0;-1,9
DAG and IP3 signaling;0;0;-1,73;-1,94;-1,39
Neuropathic Pain Signaling in Dorsal Horn Neurons;0;0;-1,96;-1,53;-0,82
Glutathione-mediated Detoxification;0;0;-1,13;-1,13;-0,82
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation;0;0;-1,13;-1,27;-1,27
Branched-chain amino acid catabolism;0;0;-1,63;-1,34;-1,34
Sphingolipid metabolism;0;0;-2;-1,61;-1,71
Complement System;0;0;-1;-1,51;-1,63
Signaling by Retinoic Acid;0;0;-1,41;-1,41;-0,63
Dopamine Degradation;0;0;-1,89;-1,41;-1,41
Histamine Degradation;0;0;-2;-1,63;-1,63
Glutamate binding, activation of AMPA receptors and synaptic plasticity;0;0;-1,41;-1,41;-1,41
Putrescine Degradation III;0;0;-1,41;-0,71;-0,71
Tryptophan Degradation X (Mammalian, via Tryptamine);0;0;-1,63;-1,13;-1,13
Fatty Acid α-oxidation;0;0;-1,63;-1,13;-1,13
Myelination Signaling Pathway;0;2,45;-0,66;0,21;0,64
HIF1 alpha Signaling;0;2,24;0;0,94;1,89
Gluconeogenesis I;0;2,45;0;2,24;1,89
Glycolysis I;0;2,65;-1,34;1,89;2,71
Intra-Golgi and retrograde Golgi-to-ER traffic;0;0;-2,12;-1,62;-0,48
DNA Replication Pre-Initiation;0;0;1;-1,67;-2,24
S Phase;0;0;-0,63;0;-1
Mitotic G1 phase and G1/S transition;0;0;-0,89;-1,34;-1,73
Aggrephagy;0;0;-1,63;0;-1,34
Protein folding;0;0;-0,91;0;-0,5
Degradation of beta-catenin by the destruction complex;0;0;-0,82;-0,82;0,3
TCF dependent signaling in response to WNT;0;0;-0,66;-1,13;-0,18
Hedgehog 'off' state;0;0;-1,51;-0,58;-0,3
Detoxification of Reactive Oxygen Species;0;0;-1,41;-0,33;0,71
Serotonin Receptor Signaling;0;0;-2,16;-1,8;-0,67
RHO GTPase cycle;0;0;-2,09;-1,16;0,72
S100 Family Signaling Pathway;0;0,38;-1,03;-1,05;0,79
Molecular Mechanisms of Cancer;0;-0,38;-1,22;-1,54;0,46
HOTAIR Regulatory Pathway;0;0;-0,78;-0,52;0,69
Chronic Myeloid Leukemia Signaling;0;0;-1,27;-1,4;0,24
Plasma lipoprotein assembly, remodeling, and clearance;0;0;-1,16;-1;0,23
Retinoate Biosynthesis I;0;0;0;0;-1
Retinoid metabolism and transport;0;0;-1;-1,9;-0,83
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I;0;0;-1,34;0;0
Interconversion of nucleotide di- and triphosphates;0;0;-1,63;-0,45;0,45
p75 NTR receptor-mediated signalling;0;0;-1,04;-0,9;0,54
Cardiac Hypertrophy Signaling;0;0;-1,51;-1,13;0
Xenobiotic Metabolism General Signaling Pathway;0;0;-1,28;-0,56;0,37
Beta-catenin independent WNT signaling;0;0;-0,69;-0,82;-0,19
G-Protein Coupled Receptor Signaling;0;-0,45;-1,68;-1,53;-0,35
Signaling by NOTCH1;0;0;-0,24;-0,43;0,82
D-myo-inositol-5-phosphate Metabolism;0;0;-0,6;0,2;0,96
3-phosphoinositide Biosynthesis;0;0;-0,63;0;0,35
Signaling by NOTCH3;0;0;-0,63;-0,91;0,26
Superpathway of Inositol Phosphate Compounds;0;0;-1,1;-1,03;0,33
Melatonin Signaling;0;0;-0,78;-0,78;0,24
Huntington's Disease Signaling;0;0;-1,34;-1,23;0
Amino acids regulate mTORC1;0;0;0,45;0;-1,63
RHO GTPases activate CIT;0;0;-1;-0,82;-1,34
mRNA Capping;0;0;0;0;0
MyD88:MAL(TIRAP) cascade initiated on plasma membrane;0;0;-0,45;-1,13;-0,38
Nucleotide Excision Repair;0;0;-0,26;-0,24;-0,94
Late endosomal microautophagy;0;0;0;0;0
Chaperone Mediated Autophagy;0;0;0;0;0
B-WICH complex positively regulates rRNA expression;0;0;0,45;-1,13;-0,71
MTOR signalling;0;0;0;0;-1
Cristae formation;0;0;0;0;-1
Amyloid fiber formation;0;0;0,82;0;0,3
Endosomal Sorting Complex Required For Transport (ESCRT);0;0;0;0;1
Transcriptional regulation of white adipocyte differentiation;0;0;-0,45;-0,23;0,22
Signaling by NOTCH2;0;0;-0,45;0;0,3
Signaling by ERBB4;0;0;-0,3;-0,3;0,26
NER (Nucleotide Excision Repair, Enhanced Pathway);0;0;-0,58;-0,28;-0,3
RNA Polymerase III Transcription;0;0;-0,82;-1;0
Necroptosis Signaling Pathway;0;0;-0,37;-0,87;-0,34
Response to elevated platelet cytosolic Ca2+;0;0;0,51;1,33;1,3
Cachexia Signaling Pathway;0;0;0,84;0,69;1,39
RHOA Signaling;0;0;-0,43;0,37;1,8
Sertoli Cell-Sertoli Cell Junction Signaling;0;0;-0,44;1,72;1,66
Signaling by VEGF;0;0;0;0;1,57
Signaling by Rho Family GTPases;0;0;-0,15;0,56;1,54
CXCR4 Signaling;0;0;0,19;0,54;0,87
ILK Signaling;0;0;0,35;0,48;0,42
Senescence-Associated Secretory Phenotype (SASP);0;0;1,16;0,83;1,53
IL-8 Signaling;0;0;0,95;1;1,11
Regulation of Actin-based Motility by Rho;0;0;0,78;1,15;1,21
Oxytocin Signaling Pathway;0;0;0;0,25;0,72
NRF2-mediated Oxidative Stress Response;0;0;-0,21;0,96;1,26
RAF/MAP kinase cascade;0;0;0,75;0,43;1,25
Fc epsilon receptor (FCERI) signaling;0;0;0;-1;0,89
G Beta Gamma Signaling;0;0;0,78;1,71;0,63
Mitophagy;0;0;0;2;1,34
Signaling by ERBB2;0;0;0,63;0,91;0,83
RAB GEFs exchange GTP for GDP on RABs;0;0;-0,58;0;0,69
Clathrin-mediated endocytosis;0;0;-0,22;1;1,4
Agrin Interactions at Neuromuscular Junction;0;0;-1;1,07;0,78
Estrogen Receptor Signaling;0;-1;-0,67;1,02;1,21
3-phosphoinositide Degradation;0;0;0;1,09;1
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis;0;0;0;1,34;1
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis;0;0;0;1,34;1
Phase II - Conjugation of compounds;0;0;0,45;0,45;-1,63
Interferon alpha/beta signaling;0;0;0,38;-0,91;-1,5
Assembly of RNA Polymerase II Complex;0;0;1;1,34;0
TP53 Regulates Metabolic Genes;0;0;1,16;2,14;0,24
Regulation of TP53 Activity through Phosphorylation;0;0;1;1,29;-0,89
Interferon Signaling;0;0;0,45;0,38;-0,63
Signaling by Insulin receptor;0;0;1,13;0,71;-0,33
Interferon gamma signaling;0;0;0,73;0,94;0,22
ISG15 antiviral mechanism;0;0;1,63;0,71;-0,26
ISGylation Signaling Pathway;0;0;1,07;1;-0,47
FAK Signaling;0;-1,34;-0,97;-0,1;0,68
Sumoylation Pathway;0;0;-0,22;0,43;-0,41
Amyotrophic Lateral Sclerosis Signaling;0;0;-0,69;-1,04;0,21
Transport of inorganic cations/anions and amino acids/oligopeptides;0;0;-0,38;-0,38;0
Macrophage Alternative Activation Signaling Pathway;0;0;-0,34;-0,16;0,76
NGF Signaling;0;0;-0,89;0,93;0,9
IL-17A Signaling in Gastric Cells;0;0;-0,45;0;1,13
Chemokine Signaling;0;0;-0,73;0;0,63
Signaling by MET;0;0;0;0,69;1,63
Neurexins and neuroligins;0;0;0,54;1,16;1,9
Netrin-1 signaling;0;0;-0,58;0,26;1,21
4-1BB Signaling in T Lymphocytes;0;0;0;0,82;1,27
B Cell Activating Factor Signaling;0;0;0;0;1,16
April Mediated Signaling;0;0;0;0;1,16
PFKFB4 Signaling Pathway;0;0;0;0,26;0,26
Neuregulin Signaling;0;0;-0,24;1,04;1,46
Opioid Signaling Pathway;0;0;0;0,96;0,53
ERB2-ERBB3 Signaling;0;0;-0,38;0,54;0,54
P2Y Purigenic Receptor Signaling Pathway;0;0;-0,66;0,96;1,57
Autism Signaling Pathway;0;0;0,42;0,75;2,03
PIP3 activates AKT signaling;0;0;0;0,71;2
CDK5 Signaling;0;0;0,43;0,63;1,73
IGF-1 Signaling;0;0;-0,24;1,04;0,85
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency;0;0;-0,3;0,73;0,78
Antiproliferative Role of Somatostatin Receptor 2;0;0;0;0,83;0,54
IL-2 Signaling;0;0;0;1,39;0,91
ERBB4 Signaling;0;0;0,33;1,07;1,29
ERBB Signaling;0;0;0,28;0,47;1,46
Netrin Signaling;0;0;0,32;0,85;0,87
RAF-independent MAPK1/3 activation;0;0;1,13;0,71;1
Leukocyte Extravasation Signaling;0;0;-1,41;-0,16;0,32
IL-15 Production;0;0;-1;-0,19;0
Interleukin-4 and Interleukin-13 signaling;0;0;0,34;0,69;0,71
Synaptogenesis Signaling Pathway;0;0;-0,69;0,24;1,21
Cardiac Hypertrophy Signaling (Enhanced);0;0;-0,7;0,19;1,17
Colorectal Cancer Metastasis Signaling;0;0;0,31;0,57;1,13
Hepatic Cholestasis;0;0;0,16;0,15;1,16
COPI-mediated anterograde transport;0;0;-0,54;0,58;1,07
IL-1 Signaling;0;0;-0,28;-1,39;0
Protein Sorting Signaling Pathway;0;0;-0,96;-0,52;0,52
RANK Signaling in Osteoclasts;0;0;-0,23;0;0,56
HGF Signaling;0;0;-1,09;0,56;0,37
14-3-3-mediated Signaling;0;0;-1,21;0,21;0,78
Macropinocytosis Signaling;0;0;-0,58;-0,26;0,24
LPS-stimulated MAPK Signaling;0;0;-0,83;0;0,6
MSP-RON Signaling in Macrophages Pathway;0;0;-0,58;0;0,43
CCR3 Signaling in Eosinophils;0;0;-0,83;-0,5;0,69
Oxytocin in Brain Signaling Pathway;0;0;-0,8;0,91;0
Melanocyte Development and Pigmentation Signaling;0;0;-1,07;0,47;0
Extra-nuclear estrogen signaling;0;0;-0,71;0,54;0,26
Glioma Signaling;0;0;-0,94;0,39;0
Glucose metabolism;0;0;-0,33;0,28;1,53
Gα12/13 Signaling;0;0;-0,43;0,18;0,33
Insulin Secretion Signaling Pathway;0;0;-0,89;-0,44;0,83
GNRH Signaling;0;0;-0,93;0,51;0,48
Ovarian Cancer Signaling;0;0;-0,47;0,22;0,66
iNOS Signaling;0;0;0;-0,38;0,63
NAD Signaling Pathway;0;0;-0,38;0;0,93
IL-13 Signaling Pathway;0;0;-0,21;0,21;1,04
ERK/MAPK Signaling;0;0;-0,18;0,31;0,91
Regulation of the Epithelial Mesenchymal Transition in Development Pathway;0;0;1,07;0,47;1,34
Activin Inhibin Signaling Pathway;0;0;0,3;0,28;0,8
IL-17A Signaling in Airway Cells;0;0;0;-0,28;0,5
Transcriptional regulation by RUNX2;0;0;0,78;0;1,07
Pyroptosis Signaling Pathway;0;0;0,78;0,66;0,19
Autophagy;0;0;0,15;0,58;1,05
Chondroitin Sulfate Biosynthesis;0;0;1;1;0,58
Dermatan Sulfate Biosynthesis;0;0;0,63;0,3;0
Heparan Sulfate Biosynthesis;0;0;1,51;1,16;1,16
Epithelial Adherens Junction Signaling;0;0;1,04;1,22;0,73
Heparan Sulfate Biosynthesis (Late Stages);0;0;1,67;0,91;1,27
Chondroitin Sulfate Biosynthesis (Late Stages);0;0;1,13;0,71;0,63
Intrinsic Prothrombin Activation Pathway;0;0;1;0;2
SUMOylation of DNA damage response and repair proteins;0;0;0,82;1,41;-0,54
Circadian Clock;0;0;0,3;0,54;0,23
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate;0;0;0;0;1,34
FLT3 Signaling in Hematopoietic Progenitor Cells;0;0;-0,3;0,89;0,89
Oncogene Induced Senescence;0;0;0,71;0,71;0,63
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza;0;0;0,24;0,24;0,45
Pancreatic Adenocarcinoma Signaling;0;0;0;-0,19;0,19
SPINK1 General Cancer Pathway;0;0;0;0,54;0,26
Renin-Angiotensin Signaling;0;0;0;0,19;0,93
PI Metabolism;0;0;0,63;0;0,26
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis;0;0;0;0,45;0
Non-Small Cell Lung Cancer Signaling;0;0;-0,28;0,47;0,5
Renal Cell Carcinoma Signaling;0;0;-0,63;0,78;0,5
Platelet Adhesion to exposed collagen;0;0;0;1;0
Remodeling of Epithelial Adherens Junctions;0;0;0;1,34;0,45
Retinoic acid Mediated Apoptosis Signaling;0;0;0;0,3;0
TRAIL signaling;0;0;0;0;0,45
Interleukin-12 family signaling;0;0;0;0;0
Signaling by Hippo;0;0;1,34;1,34;0
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell;0;0;1,29;1,39;1,39
Inhibition of Angiogenesis by TSP1;0;0;0,38;0,33;0,33
Serine biosynthesis;0;0;0;0;0
IL-23 Signaling Pathway;0;0;0,71;0;0,91
Interleukin-6 family signaling;0;0;1;0,71;0,71
Myogenesis;0;0;0,71;0,33;0
Tumoricidal Function of Hepatic Natural Killer Cells;0;0;1;0,45;0
Cell Cycle Regulation by BTG Family Proteins;0;0;0;1;0
Erythropoietin Signaling Pathway;0;0;0;0,48;0,48
